date,month,year,,
2020-01-01,01,2020,1 / 2020, / 
2020-01-02,01,2020,1 / 2020,
2020-01-03,01,2020,1 / 2020,
2020-01-04,01,2020,1 / 2020,
2020-01-05,01,2020,1 / 2020,
2020-01-06,01,2020,1 / 2020,
2020-01-07,01,2020,1 / 2020,
2020-01-08,01,2020,1 / 2020,
2020-01-09,01,2020,1 / 2020,
2020-01-10,01,2020,1 / 2020,
2020-01-11,01,2020,1 / 2020,
2020-01-12,01,2020,1 / 2020,
2020-01-13,01,2020,1 / 2020,
2020-01-14,01,2020,1 / 2020,
2020-01-15,01,2020,1 / 2020,
2020-01-16,01,2020,1 / 2020,
2020-01-17,01,2020,1 / 2020,
2020-01-18,01,2020,1 / 2020,
2020-01-19,01,2020,1 / 2020,
2020-01-20,01,2020,1 / 2020,
2020-01-21,01,2020,1 / 2020,
2020-01-22,01,2020,1 / 2020,
2020-01-23,01,2020,1 / 2020,
2020-01-24,01,2020,1 / 2020,
2020-01-25,01,2020,1 / 2020,
2020-01-26,01,2020,1 / 2020,
2020-01-27,01,2020,1 / 2020,
2020-01-28,01,2020,1 / 2020,
2020-01-29,01,2020,1 / 2020,
2020-01-30,01,2020,1 / 2020,
2020-01-31,01,2020,1 / 2020,
2020-02-01,02,2020,2 / 2020,
2020-02-02,02,2020,2 / 2020,
2020-02-03,02,2020,2 / 2020,
2020-02-04,02,2020,2 / 2020,
2020-02-05,02,2020,2 / 2020,
2020-02-06,02,2020,2 / 2020,
2020-02-07,02,2020,2 / 2020,
2020-02-08,02,2020,2 / 2020,
2020-02-09,02,2020,2 / 2020,
2020-02-10,02,2020,2 / 2020,
2020-02-11,02,2020,2 / 2020,
2020-02-12,02,2020,2 / 2020,
2020-02-13,02,2020,2 / 2020,
2020-02-14,02,2020,2 / 2020,
2020-02-15,02,2020,2 / 2020,
2020-02-16,02,2020,2 / 2020,
2020-02-17,02,2020,2 / 2020,
2020-02-18,02,2020,2 / 2020,
2020-02-19,02,2020,2 / 2020,
2020-02-20,02,2020,2 / 2020,
2020-02-21,02,2020,2 / 2020,
2020-02-22,02,2020,2 / 2020,
2020-02-23,02,2020,2 / 2020,
2020-02-24,02,2020,2 / 2020,
2020-02-25,02,2020,2 / 2020,
2020-02-26,02,2020,2 / 2020,
2020-02-27,02,2020,2 / 2020,
2020-02-28,02,2020,2 / 2020,
2020-02-29,02,2020,2 / 2020,
2020-03-01,03,2020,3 / 2020,
2020-03-02,03,2020,3 / 2020,
2020-03-03,03,2020,3 / 2020,
2020-03-04,03,2020,3 / 2020,
2020-03-05,03,2020,3 / 2020,
2020-03-06,03,2020,3 / 2020,
2020-03-07,03,2020,3 / 2020,
2020-03-08,03,2020,3 / 2020,
2020-03-09,03,2020,3 / 2020,
2020-03-10,03,2020,3 / 2020,
2020-03-11,03,2020,3 / 2020,
2020-03-12,03,2020,3 / 2020,
2020-03-13,03,2020,3 / 2020,
2020-03-14,03,2020,3 / 2020,
2020-03-15,03,2020,3 / 2020,
2020-03-16,03,2020,3 / 2020,
2020-03-17,03,2020,3 / 2020,
2020-03-18,03,2020,3 / 2020,
2020-03-19,03,2020,3 / 2020,
2020-03-20,03,2020,3 / 2020,
2020-03-21,03,2020,3 / 2020,
2020-03-22,03,2020,3 / 2020,
2020-03-23,03,2020,3 / 2020,
